Day Index,Bounce Rate
4/2/20,14.24%
4/3/20,16.99%
4/4/20,17.27%
4/5/20,15.00%
4/6/20,18.39%
4/7/20,16.67%
4/8/20,15.70%
4/9/20,18.57%
4/10/20,14.94%
4/11/20,12.24%
4/12/20,15.72%
4/13/20,12.65%
4/14/20,14.77%
4/15/20,16.53%
4/16/20,21.04%
4/17/20,21.11%
4/18/20,18.29%
4/19/20,15.17%
4/20/20,19.66%
4/21/20,17.39%
4/22/20,17.44%
4/23/20,18.72%
4/24/20,12.89%
4/25/20,16.48%
4/26/20,19.34%
4/27/20,13.30%
4/28/20,15.54%
4/29/20,14.81%
4/30/20,16.85%
5/1/20,12.04%
5/2/20,17.20%
5/3/20,13.01%
5/4/20,12.82%
5/5/20,13.95%
5/6/20,22.97%
5/7/20,15.91%
5/8/20,15.82%
5/9/20,22.94%
5/10/20,18.44%
5/11/20,15.69%
5/12/20,13.27%
5/13/20,16.10%
5/14/20,22.49%
5/15/20,18.54%
5/16/20,14.96%
5/17/20,21.67%
5/18/20,16.97%
5/19/20,19.84%
5/20/20,18.66%
5/21/20,17.24%
5/22/20,18.25%
5/23/20,16.03%
5/24/20,13.86%
5/25/20,19.08%
5/26/20,16.86%
5/27/20,14.35%
5/28/20,15.35%
5/29/20,17.88%
5/30/20,21.77%
5/31/20,17.79%
6/1/20,16.32%
6/2/20,14.29%
6/3/20,15.64%
6/4/20,13.54%
6/5/20,13.49%
6/6/20,18.84%
6/7/20,17.65%
6/8/20,16.96%
6/9/20,16.11%
6/10/20,14.78%
6/11/20,20.42%
6/12/20,17.54%
6/13/20,23.00%
6/14/20,17.93%
6/15/20,14.21%
6/16/20,11.95%
6/17/20,14.77%
6/18/20,15.64%
6/19/20,13.71%
6/20/20,16.38%
6/21/20,19.82%
6/22/20,14.29%
6/23/20,14.56%
6/24/20,17.06%
6/25/20,19.66%
6/26/20,13.97%
6/27/20,12.71%
6/28/20,12.84%
6/29/20,10.75%
6/30/20,17.14%
7/1/20,17.89%
7/2/20,20.47%
,16.41%
